location,count
United States,1978
United Kingdom,1607
India,1306
Germany,377
Hong Kong,347
Canada,301
France,212
Singapore,212
Netherlands,200
Australia,168
Brazil,167
Spain,166
Malaysia,147
Italy,116
Taiwan,116
Thailand,113
Argentina,112
Indonesia,111
Turkey,111
Philippines,104
Switzerland,102
Pakistan,95
South Korea,90
China,85
(not set),83
Poland,81
Israel,80
Ireland,78
Sweden,74
United Arab Emirates,67
Belgium,61
Vietnam,58
Denmark,55
Russia,54
South Africa,54
Colombia,51
Mexico,50
Japan,48
Portugal,47
Austria,42
Kenya,42
Greece,40
Nigeria,40
Finland,38
Saudi Arabia,38
Ukraine,37
Norway,36
Bangladesh,32
Egypt,28
Sri Lanka,28
Hungary,25
Romania,25
Tunisia,23
Morocco,22
New Zealand,22
Chile,18
Czechia,16
Croatia,15
Bulgaria,14
Algeria,14
Iran,14
Serbia,13
Lithuania,12
Latvia,11
Qatar,10
Venezuela,10
Costa Rica,9
Ecuador,9
Jordan,9
Peru,9
Slovenia,9
Belarus,8
Ethiopia,8
Ghana,8
Luxembourg,8
Malta,8
Nepal,8
Armenia,7
Bosnia & Herzegovina,7
Estonia,7
Mauritius,7
Azerbaijan,6
Jamaica,6
Kazakhstan,6
Lebanon,6
Tanzania,6
Zimbabwe,6
Cyprus,5
Cambodia,5
Kuwait,5
Senegal,5
Uruguay,5
Barbados,4
Botswana,4
North Macedonia,4
Albania,3
Bahrain,3
Iraq,3
Iceland,3
Jersey,3
Mali,3
Myanmar (Burma),3
Macao,3
Panama,3
Slovakia,3
Syria,3
Trinidad & Tobago,3
Yemen,3
Andorra,2
Brunei,2
Cameroon,2
Georgia,2
Gibraltar,2
Guatemala,2
Guyana,2
Madagascar,2
Mongolia,2
Palestine,2
Uganda,2
Uzbekistan,2
Kosovo,2
Afghanistan,1
Antigua & Barbuda,1
Benin,1
Congo - Kinshasa,1
CÃ´te dâIvoire,1
Cuba,1
Cape Verde,1
CuraÃ§ao,1
Dominica,1
Dominican Republic,1
Western Sahara,1
Fiji,1
Cayman Islands,1
Laos,1
Maldives,1
Malawi,1
Oman,1
Papua New Guinea,1
Paraguay,1
RÃ©union,1
Rwanda,1
San Marino,1
El Salvador,1
Zambia,1
